order,family,name,year,date1,date2,individuals
LEPIDOPTERA,ACROLEPIIDAE,Acrolepiopsis assectella Zell.,1994,8/12/94,8/21/94,1
LEPIDOPTERA,ACROLEPIIDAE,Acrolepiopsis assectella Zell.,1994,8/22/94,8/25/94,1
LEPIDOPTERA,ACROLEPIIDAE,Acrolepiopsis assectella Zell.,1996,7/24/96,7/25/96,1
LEPIDOPTERA,ACROLEPIIDAE,Acrolepiopsis assectella Zell.,1998,7/13/98,7/19/98,1
LEPIDOPTERA,ACROLEPIIDAE,Acrolepiopsis assectella Zell.,1999,8/9/99,8/10/99,1
LEPIDOPTERA,ACROLEPIIDAE,Acrolepiopsis assectella Zell.,1999,8/30/99,8/31/99,1
LEPIDOPTERA,ACROLEPIIDAE,Acrolepiopsis assectella Zell.,2000,7/28/00,7/30/00,1
LEPIDOPTERA,ACROLEPIIDAE,Acrolepiopsis assectella Zell.,2003,8/19/03,8/28/03,1
LEPIDOPTERA,ACROLEPIIDAE,Acrolepiopsis assectella Zell.,2004,7/26/04,7/27/04,1
LEPIDOPTERA,ACROLEPIIDAE,Acrolepiopsis assectella Zell.,2006,7/14/06,7/20/06,1
LEPIDOPTERA,ACROLEPIIDAE,Acrolepiopsis assectella Zell.,2006,8/17/06,8/24/06,1
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,1993,4/22/93,5/16/93,1
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,1995,5/22/95,5/31/95,4
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,1996,6/13/96,6/20/96,3
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,1997,5/7/97,5/29/97,7
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,1997,5/30/97,6/3/97,4
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,1998,4/30/98,5/6/98,1
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,1998,5/14/98,5/18/98,5
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,1998,5/19/98,5/26/98,1
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,2000,5/11/00,5/16/00,2
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,2001,5/10/01,5/21/01,2
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,2001,5/22/01,5/31/01,1
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,2002,4/22/02,5/12/02,1
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,2002,5/13/02,5/23/02,1
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,2003,5/21/03,5/26/03,1
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,2004,5/6/04,5/17/04,1
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,2004,5/18/04,6/7/04,1
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,2005,4/11/05,5/2/05,1
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,2005,5/25/05,5/29/05,1
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,2007,4/2/07,4/29/07,1
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,2007,4/30/07,5/14/07,1
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,2007,5/15/07,5/21/07,2
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,2008,4/25/08,5/5/08,2
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,2009,4/24/09,5/6/09,1
LEPIDOPTERA,ADELIDAE,Nematopogon adansoniella Vill.,2009,5/20/09,6/2/09,1
LEPIDOPTERA,ADELIDAE,Nematopogon robertella Cl.,1995,6/20/95,6/25/95,1
LEPIDOPTERA,ADELIDAE,Nematopogon robertella Cl.,2001,6/25/01,6/27/01,2
LEPIDOPTERA,ADELIDAE,Nematopogon robertella Cl.,2004,6/8/04,6/10/04,1
LEPIDOPTERA,ADELIDAE,Nematopogon robertella Cl.,2006,6/14/06,6/20/06,1
LEPIDOPTERA,ADELIDAE,Nematopogon robertella Cl.,2008,6/3/08,6/8/08,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1992,6/24/92,6/25/92,3
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1992,6/26/92,6/28/92,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1992,7/24/92,7/28/92,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1993,7/1/93,7/4/93,3
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1994,7/4/94,7/6/94,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1994,7/7/94,7/11/94,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1994,7/15/94,7/17/94,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1994,7/20/94,7/21/94,2
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1994,7/22/94,7/24/94,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1994,8/5/94,8/7/94,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1995,7/4/95,7/6/95,3
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1995,7/7/95,7/9/95,1
LEPIDOPTERA,AGONOXENIDAE,Blastodacna atra Hw.,1995,7/10/95,7/13/95,1
